file,title,url,companies,people,fraud_types,confidence,execution_time_seconds
celesc-pagará-r-32-milhões-para-restituir-consumidores-em-sc.json,Celesc pagará R$ 32 milhões para restituir consumidores em SC,https://ndmais.com.br/economia/celesc-pagara-r-32-milhoes-para-restituir-consumidores-em-sc/,Celesc,Analú Librelato Longo (promotora de Justiça),superfaturamento,média,9.09
chamas-atingem-carro-do-prefeito-afastado-de-itapoá-incêndio-pode-ser-criminoso.json,Chamas atingem carro do prefeito afastado de Itapoá; incêndio pode ser criminoso,https://ndmais.com.br/seguranca/chamas-atingem-carro-do-prefeito-afastado-de-itapoa-incendio-pode-ser-criminoso/,Serrana,Marlon Nebuer (prefeito afastado); Milena Fátima Rosa (delegada),fraude em licitação; corrupção ativa; corrupção passiva; lavagem de dinheiro; pagamento de propina por empresas; organização criminosa,alta,4.88
chefe-do-mpsc-revela-quebra-de-sigilo-em-caso-dos-respiradores-fantasmas.json,Chefe do MPSC revela quebra de sigilo em caso dos respiradores fantasmas,https://ndmais.com.br/politica/chefe-do-mpsc-revela-quebra-de-sigilo-em-caso-dos-respiradores-fantasmas/,Veigamed,Fernando Comin (procurador-geral),fraude em licitação; falsificação de documentos; lavagem de dinheiro; corrupção envolvendo empresas; desvio de recursos públicos,alta,5.6
cobranças-irregulares-na-coleta-de-esgoto-em-são-francisco-do-sul-são-questionadas-pelo-mp.json,Cobranças irregulares na coleta de esgoto em São Francisco do Sul são questionadas pelo MP,https://ndmais.com.br/justica/cobrancas-irregulares-na-coleta-de-esgoto-em-sao-francisco-do-sul-sao-questionadas-pelo-mp/,Águas de São Francisco do Sul,Alan Rafael Warsch (promotor de justiça),fraude em cobrança; superfaturamento,alta,6.47
collor-é-alvo-em-operação-da-pf-contra-propinas-e-com-mandados-em-gaspar.json,Collor é alvo em operação da PF contra propinas e com mandados em Gaspar,https://ndmais.com.br/seguranca/operacao-nacional-da-policia-federal-tem-desdobramentos-em-gaspar/,Porto Pontal Paraná Importação e Exportação SA,Fernando Collor (senador),corrupção envolvendo empresas; pagamento de propina,alta,4.28
com-a-carne-e-pescado-nas-alturas-ovo-pode-ser-item-essencial-na-cesta-básica.json,"Com a carne e pescado nas alturas, ovo pode ser item essencial na cesta básica",https://ndmais.com.br/economia/com-a-carne-e-pescado-nas-alturas-ovo-pode-ser-item-essencial-na-cesta-basica/,TelexFree,Carlos Nataniel Wanzeler (empresário),fraude em esquema de pirâmide,alta,8.73
com-base-na-lei-anticorrupção-sc-multa-construtora-em-r-852-mil-por-fraude-contratual.json,"Com base na Lei Anticorrupção, SC multa construtora em R$ 852 mil por fraude contratual",https://ndmais.com.br/politica/com-base-na-lei-anticorrupcao-sc-multa-construtora-em-r-852-mil-por-fraude-contratual/,Floriani Construtora e Incorporadora,Cristiano Socas da Silva (controlador geral),fraude contratual,alta,3.49
com-fechamento-da-alesc-cpi-dos-respiradores-sofre-atraso-de-uma-semana.json,"Com fechamento da Alesc, CPI dos Respiradores sofre atraso de uma semana",https://ndmais.com.br/justica/com-fechamento-da-alesc-cpi-dos-respiradores-sofre-atraso-de-uma-semana/,Veigamed,Ivan Naatz (deputado estadual); Helton Zeferino (ex-secretário de Saúde); Douglas Borba (ex-secretário da Casa Civil); Márcia Regina Geremias Pauli (ex-superintendente de gestão administrativa); Ernani Guetten de Almeida (desembargador); João Amin (deputado estadual),fraude em licitação,média,12.23
com-incógnita-de-r-1-2mi-governo-lança-site-com-informações-sobre-caso-dos-respiradores.json,"Com incógnita de R$ 1,2mi, governo lança site com informações sobre caso dos respiradores",https://ndmais.com.br/politica/com-incognita-de-r-12mi-governo-lanca-site-com-informacoes-sobre-caso-dos-respiradores/,Veigamed,Carlos Moisés (governador); Moacir Pereira (colunista),fraude em compra,alta,16.85
com-laranjas-veigamed-lucrou-r-16-5-milhões-na-venda-de-respiradores-a-sc.json,"Com ‘laranjas’, Veigamed lucrou R$ 16,5 milhões na venda de respiradores a SC",https://ndmais.com.br/saude/com-laranjas-veigamed-lucrou-r-165-milhoes-na-venda-de-respiradores-a-sc/,Veigamed; Delta T Consultoria Empresarial; MB&AC; Meuvale Gestao Administrativa Ltda; Oltramed,Pedro Nascimento Araújo (CEO); Rosemary Neves de Araújo (sócia); Gilliard Gerent (representante); Fábio Deambrósio Guasti (representante); Davi Perini de Vermelho (presidente da Câmara de Vereadores); Douglas Borba (ex-secretário); Vera Lúcia Ferreira Copetti (desembargadora),corrupção envolvendo empresas; lavagem de dinheiro empresarial; desvio de recursos públicos envolvendo empresas; uso de laranjas; falsificação de documentos,alta,45.02
